Citation,DOI Link
"Adams, R. I., Bateman, A. C., Bik, H. M., & Meadow, J. F. (2015). Microbiota of the indoor environment: a meta-analysis. Microbiome, 3, 49.",https://doi.org/10.1186/s40168-015-0108-3
"Ahn, J., & Hayes, R. B. (2021). Environmental influences on the human microbiome and implications for noncommunicable disease. Annual Review of Public Health, 42, 277–292.",https://doi.org/10.1146/annurev-publhealth-012420-105020
"Avila-Herrera, A., Thissen, J., Urbaniak, C., Be, N. A., Smith, D. J., Karouia, F., ... Venkateswaran, K. (2020). Crewmember microbiome may influence microbial composition of ISS habitable surfaces. PLoS ONE, 15(3), e0231838.",https://doi.org/10.1371/journal.pone.0231838
"Bayer, C. W., & Grimes, C. (2015). The indoor environmental microbiome. Indoor and Built Environment, 24(5), 583–586.",https://doi.org/10.1177/1420326X15614408
"Bope, A., Weir, M. H., Pruden, A., Morowitz, M., Mitchell, J., & Dannemiller, K. C. (2018). Translating research to policy at the NCSE 2017 symposium. Microbiome, 6(1), 160.",https://doi.org/10.1186/s40168-018-0552-y
"Cardinale, M., Kaiser, D., Lueders, T., Schnell, S., & Egert, M. (2017). Microbiome analysis and confocal microscopy of used kitchen sponges reveal massive colonization by Acinetobacter, Moraxella and Chryseobacterium species. Scientific Reports, 7, 5791.",https://doi.org/10.1038/s41598-017-06055-9
"Chopyk, J., Akrami, K., Bavly, T., Shin, J. H., Schwanemann, L. K., Ly, M., Kalia, R., Xu, Y., Kelley, S. T., Malhotra, A., Torriani, F. J., Sweeney, D. A., & Pride, D. T. (2020). Temporal variations in bacterial community diversity and composition throughout intensive care unit renovations. Microbiome, 8(1), 86.",https://doi.org/10.1186/s40168-020-00852-7
"Christoff, A. P., Sereia, A. F. R., Hernandes, C., & de Oliveira, L. F. V. (2019). Uncovering the hidden microbiota in hospital and built environments. Experimental Biology and Medicine, 244(6), 534–542.",https://doi.org/10.1177/1535370218821857
"Estensmo, E. L. F., Botnen, S. S., Maurice, S., Martin-Sanchez, P. M., Morgado, L., Engh, I. B., Høiland, K., Skrede, I., & Kauserud, H. (2022). The indoor mycobiomes of daycare centers are affected by occupancy and climate. Applied and Environmental Microbiology, 88(6), e02113-21.",https://doi.org/10.1128/aem.02113-21
"Fu, X., Li, Y., Yuan, Q., Cai, G.-H., Deng, Y., Zhang, X., Norbäck, D., & Sun, Y. (2020). Continental-scale microbiome study reveals different environmental characteristics determining microbial richness, composition, and quantity in hotel rooms. mSystems, 5(3), e00119-20.",https://doi.org/10.1128/mSystems.00119-20
"Fu, X., Norbäck, D., Yuan, Q., Li, Y., Zhu, X., Hashim, J. H., Hashim, Z., Ali, F., Hu, Q., Deng, Y., & Sun, Y. (2021). Association between indoor microbiome exposure and sick building syndrome (SBS) in junior high schools of Johor Bahru, Malaysia. Science of the Total Environment, 753, 141904.",https://doi.org/10.1016/j.scitotenv.2020.141904
"Gibbons, S. M., Schwartz, T., Fouquier, J., Mitchell, M., Sangwan, N., Gilbert, J. A., & Kelley, S. T. (2015). Ecological succession and viability of human-associated microbiota on restroom surfaces. Applied and Environmental Microbiology, 81(2), 765–773.",https://doi.org/10.1128/AEM.03117-14
"Gomez-Silvan, C., Leung, M. H. Y., Grue, K. A., Kaur, R., Tong, X., Lee, P. K. H., & Andersen, G. L. (2018). A comparison of methods used to unveil the genetic and metabolic pool in the built environment. Microbiome, 6(1), 71.",https://doi.org/10.1186/s40168-018-0453-0
"Horve, P. F., Lloyd, S., Mhuireach, G., Dietz, L., Fretz, M., & Van Den Wymelenberg, K. (2020). Building upon the microbiome to improve human health. Journal of Exposure Science & Environmental Epidemiology, 30(5), 878–885.",https://doi.org/10.1038/s41370-020-0233-8
"Kettleson, E. M., Adhikari, A., Vesper, S., Coombs, K., Indugula, R., & Reponen, T. (2015). Key determinants of the fungal and bacterial microbiomes in homes. Environmental Research, 138, 130–135.",https://doi.org/10.1016/j.envres.2015.02.003
"Klimenko, N., Tyakht, A., Toshchakov, S., Pavlenko, A., Severinov, K., & Alexeev, D. (2020). Co-occurrence networks of human and environmental microbiota in the Moscow subway. Computational and Structural Biotechnology Journal, 18, 314–322.",https://doi.org/10.1016/j.csbj.2020.01.004
"Leung, M. H. Y., & Lee, P. K. H. (2016). The roles of the outdoors and occupants in contributing to a potential pan-microbiome of the built environment. Microbiome, 4(1), 21.",https://doi.org/10.1186/s40168-016-0165-2
"Luongo, J. C., Barberán, A., Hacker-Cary, R., Morgan, E. E., Miller, S. L., & Fierer, N. (2017). Microbial analyses of airborne dust collected from dormitory rooms predict the sex of occupants. Indoor Air, 27(2), 338–344.",https://doi.org/10.1111/ina.12302
"Mahnert, A., Moissl-Eichinger, C., Zojer, M., Bogumil, D., Mizrahi, I., Rattei, T., ... Berg, G. (2019). Man-made microbial resistances in built environments. Nature Communications, 10(1), 968.",https://doi.org/10.1038/s41467-019-08864-0
"Nygaard, A. B., & Charnock, C. (2018). Longitudinal development of the dust microbiome in a newly opened Norwegian kindergarten. Microbiome, 6(1), 159.",https://doi.org/10.1186/s40168-018-0553-x
"Pacchioni, F., Esposito, A., Giacobazzi, E., Bettua, C., Struffi, P., & Jousson, O. (2018). Air and waterborne microbiome of a pharmaceutical plant provide insights on spatiotemporal variations and community resilience after disturbance. BMC Microbiology, 18(1), 124.",https://doi.org/10.1186/s12866-018-1267-8
"Rai, S., Singh, D. K., & Kumar, A. (2021). Microbial, environmental and anthropogenic factors influencing the indoor microbiome of the built environment. Journal of Basic Microbiology, 61(4), 267–292.",https://doi.org/10.1002/jobm.202000575
"Ruiz-Calderón, J. F., Cavallin, H., Song, S. J., Novoselac, A., Pericchi, L. R., Hernandez, J. N., Rios, R., Branch, O. H., Pereira, H., Paulino, L. C., Blaser, M. J., Knight, R., & Dominguez-Bello, M. G. (2016). Walls talk: Microbial biogeography of homes spanning urbanization. Science Advances, 2(2), e1501061.",https://doi.org/10.1126/sciadv.1501061
"Sharma, A., Richardson, M., Cralle, L., Stamper, C. E., Maestre, J. P., Stearns-Yoder, K. A., Postolache, T. T., Bates, K. L., Kinney, K. A., Brenner, L. A., Lowry, C. A., Gilbert, J. A., & Hoisington, A. J. (2019). Longitudinal homogenization of the microbiome between both occupants and the built environment in a cohort of United States Air Force Cadets. Microbiome, 7(1), 70.",https://doi.org/10.1186/s40168-019-0686-6
"Shen, F., Wang, M., Ma, J., Sun, Y., Zheng, Y., Mu, Q., Li, X., Wu, Y., & Zhu, T. (2024). Height-resolved analysis of indoor airborne microbiome. Environmental Science & Technology, 58(39), 17364–17375.",https://doi.org/10.1021/acs.est.4c06218
"Tong, X., Leung, M. H. Y., Wilkins, D., & Lee, P. K. H. (2017). City-scale distribution and dispersal routes of mycobiome in residences. Microbiome, 5(1), 131.",https://doi.org/10.1186/s40168-017-0346-7
"Wilkins, D., Leung, M. H. Y., & Lee, P. K. H. (2016). Indoor air bacterial communities in Hong Kong households assemble independently of occupant skin microbiomes. Environmental Microbiology, 18(6), 1754–1763.",https://doi.org/10.1111/1462-2920.12889
"Xie, J., Acosta, E. M., & Gitai, Z. (2023). Bacterial viability in the built environment of the home. PLoS ONE, 18(11), e0288092.",https://doi.org/10.1371/journal.pone.0288092
"Xu, Y., Tandon, R., Ancheta, C., Arroyo, P., Gilbert, J. A., Stephens, B., & Kelley, S. T. (2021). Quantitative profiling of built environment bacterial and fungal communities. Indoor Air, 31(1), 188–205.",https://doi.org/10.1111/ina.12727
"Ye, Z., Wang, X., Li, Y., & Zhang, W. (2024). Characterization of bacterial sources on surfaces of university buildings and their human origins. Ecotoxicology and Environmental Safety, 261, 115318.",https://doi.org/10.1016/j.ecoenv.2024.116632
,
git,
